certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
0,Male,B.com Accounting and Finance,0.8293333333333333,0.6976744186046512,75.0,75.0,75.0,30 - 60 minute,Anytime,6.0,1,75%,More than 2 hour,,,good,0,0.0010609272225363846,0.6653870761356366
0,Male,B.com Accounting and Finance,0.45599999999999996,0.7325581395348837,60.0,82.0,65.0,0 - 30 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,good,0,0.004496239967459348,0.5502239283429302
1,Male,B.com Accounting and Finance,0.8079999999999999,0.5813953488372093,66.0,65.0,60.0,1 - 2 Hour,Morning,6.0,1,50%,30 - 60 Minute,,,good,0,0.000941011602028871,0.44785668586052463
0,Male,B.com Accounting and Finance,0.8026666666666666,0.40697674418604657,73.0,72.0,1.0,1 - 2 Hour,Night,6.0,1,75%,1 - 30 Minute,,,good,0,0.000657811869989317,0.15994881637875868
1,Male,B.com Accounting and Finance,0.7919999999999999,0.4186046511627908,62.0,53.0,80.0,1 - 2 Hour,Morning,6.0,1,75%,30 - 60 Minute,,,Awful,1,0.000707475606269245,0.4734484964811261
1,Female,B.com Accounting and Finance,0.8133333333333332,0.38372093023255816,85.0,88.0,89.0,1 - 2 Hour,Anytime,6.0,1,100%,0 Minute,,,Bad,0,0.0005907190654820403,0.9021113243761993
0,Male,B.com Accounting and Finance,0.8826666666666666,0.5232558139534884,70.0,80.0,75.0,More Than 4 hour,Anytime,6.0,1,100%,1.30 - 2 hour,,,good,0,0.0006384466150798896,0.6653870761356366
1,Female,Commerce,0.824,0.5465116279069767,98.0,80.0,85.0,1 - 2 Hour,Anytime,6.0,1,100%,1.30 - 2 hour,,,Bad,0,0.0008319091995217481,0.9085092770313499
1,Female,Commerce,0.9359999999999999,0.2674418604651163,86.0,78.0,85.0,1 - 2 Hour,Anytime,6.0,1,75%,1.30 - 2 hour,,,good,0,0.00019372476363383823,0.8189379398592449
0,Male,Commerce,0.5093333333333333,0.313953488372093,87.0,84.0,92.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0018206412393225989,0.9085092770313499
1,Female,Commerce,0.8079999999999999,0.37209302325581395,82.0,70.0,80.0,2 - 3 hour,Morning,6.0,1,100%,1 - 30 Minute,,,Bad,1,0.0005842378550643677,0.710172744721689
1,Female,Commerce,0.8666666666666666,0.4883720930232558,80.0,60.0,60.0,1 - 2 Hour,Morning,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0006258878259152961,0.5054382597568778
1,Female,Commerce,0.7866666666666666,0.4651162790697675,93.6,85.0,93.0,1 - 2 Hour,Anytime,6.0,1,100%,1 - 30 Minute,,,good,0,0.000806219427698638,0.9635316698656431
1,Male,B.com Accounting and Finance,0.7866666666666666,0.34883720930232565,90.0,80.0,95.0,3 - 4 hour,Anytime,6.0,1,75%,1 - 1.30 hour,,,Bad,1,0.0005974425466840911,0.9213051823416505
1,Female,Commerce,0.7546666666666666,0.4767441860465117,88.0,81.0,80.0,30 - 60 minute,Morning,6.0,1,75%,1 - 30 Minute,,,good,0,0.0009339223966149484,0.8189379398592449
1,Female,Commerce,0.8079999999999999,0.2558139534883721,87.0,78.0,84.0,30 - 60 minute,Morning,6.0,1,75%,30 - 60 Minute,,,good,0,0.00038603021786186563,0.8189379398592449
1,Male,Commerce,0.9893333333333332,0.8139534883720931,70.0,70.0,90.0,More Than 4 hour,Anytime,6.0,1,100%,More than 2 hour,,,Bad,1,0.0007561129762551468,0.6973768394113884
1,Male,BCA,0.8026666666666666,0.8023255813953489,89.0,69.0,80.0,30 - 60 minute,Anytime,6.0,0,25%,More than 2 hour,,,Awful,1,0.0013404414475320556,0.7485604606525911
1,Male,BCA,0.8293333333333333,0.40697674418604657,70.0,60.0,70.0,0 - 30 minute,Anytime,6.0,1,50%,More than 2 hour,,,good,0,0.0005898743847473137,0.5054382597568778
1,Male,BCA,0.7919999999999999,0.6395348837209303,95.0,90.0,90.0,1 - 2 Hour,Morning,6.0,1,75%,More than 2 hour,,,good,1,0.001098983317492457,0.9852847088931542
1,Female,BCA,0.8293333333333333,0.2558139534883721,80.0,75.0,75.0,2 - 3 hour,Morning,6.0,1,75%,1 - 30 Minute,,,good,0,0.0003449269090969967,0.6973768394113884
1,Male,BCA,0.5093333333333333,0.8488372093023255,90.0,62.0,79.0,30 - 60 minute,Night,6.0,1,75%,30 - 60 Minute,,,Bad,0,0.004039488526444239,0.7037747920665387
1,Male,BCA,0.8133333333333332,0.4418604651162791,84.0,65.0,85.0,1 - 2 Hour,Night,6.0,1,75%,30 - 60 Minute,,,good,0,0.0006885644356585199,0.7229686500319896
1,Male,BCA,0.84,0.6162790697674418,50.0,50.0,60.0,30 - 60 minute,Night,6.0,1,75%,1 - 30 Minute,,,good,0,0.0008952797438979234,0.24952015355086377
1,Male,BCA,0.504,0.6744186046511628,91.0,60.0,60.0,30 - 60 minute,Anytime,6.0,1,25%,1.30 - 2 hour,,,Bad,1,0.0033923431900644433,0.5758157389635314
0,Female,BCA,0.84,0.4651162790697675,84.0,64.0,75.0,2 - 3 hour,Anytime,6.0,1,50%,1 - 1.30 hour,,,good,0,0.0006563430202030554,0.6525911708253358
0,Female,BCA,0.8293333333333333,0.1744186046511628,87.0,75.0,89.0,0 - 30 minute,Anytime,6.0,0,25%,1 - 30 Minute,,,Bad,0,0.0002130321145160569,0.8317338451695457
1,Male,BCA,0.9893333333333332,0.5813953488372093,89.8,63.3,73.3,0 - 30 minute,Anytime,6.0,1,50%,30 - 60 Minute,,,good,0,0.000488878568556527,0.6743442098528467
1,Male,BCA,0.8293333333333333,0.4651162790697675,89.0,69.0,80.0,3 - 4 hour,Morning,6.0,1,75%,1 - 1.30 hour,,,good,1,0.0006840849523051279,0.7485604606525911
1,Male,BCA,0.7759999999999999,0.627906976744186,75.0,55.0,60.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0011399803565582307,0.4414587332053743
1,Female,BCA,0.9093333333333333,0.5232558139534884,93.0,66.0,85.0,1 - 2 Hour,Anytime,6.0,1,100%,1 - 30 Minute,,,good,0,0.0005773386112681925,0.7869481765834931
1,Male,BCA,0.8933333333333333,0.8255813953488371,92.0,69.0,85.0,1 - 2 Hour,Night,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0010372854143444836,0.799744081893794
1,Male,BCA,0.8133333333333332,0.6511627906976745,88.0,58.0,50.0,30 - 60 minute,Night,6.0,1,75%,1 - 1.30 hour,,,Fabulous,0,0.0010408077682938462,0.47984644913627617
