branch,marks_10th,marks_12th,gender,board10th,board12th,category,rank,normalized_rank,cgpa,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
ece,0.9114219114219116,0.8362720403022672,male,c.b.s.e,c.b.s.e,gen,15535,0.0676238073602907,0.5833333333333333,0,0,1,1,1,1,0,0,0.032304247274329,0.3428571428571428,0.0216186740932177,0.4163024375355769,0
ece,0.8834498834498836,0.6700251889168769,male,cbse,cbse,gen,24202,0.2251340299863699,0.4038461538461539,0,0,1,1,1,1,0,0,0.0221357512572959,0.5142857142857142,0.0259662316467861,0.2869050666642263,0
ece,0.8741258741258742,0.7153652392947103,male,cbse,cbse,gen,25129,0.2419809177646524,0.4262820512820513,0,0,1,1,1,1,0,0,0.0255497228442421,0.1714285714285714,0.0214010080596557,0.3045417921670728,0
ece,0.8787878787878789,0.4483627204030227,male,cbse,cbse,gen,34089,0.404815992730577,0.0737179487179489,0,5,1,1,1,1,1,0,0.0019823060827429,0.3142857142857143,0.0271073130234745,0.0479165708380205,5
ece,0.9393939393939394,0.7204030226700253,female,cbse,cbse,gen,27242,0.2803816447069514,0.8814102564102566,0,0,1,1,1,1,0,0,0.0516500862670239,0.4285714285714285,0.0137968206827105,0.6328721276191123,0
ece,0.4685314685314685,0.3173803526448364,male,bseb,cbse,gen,22120,0.187296683325761,0.5160256410256412,0,0,1,1,0,1,1,0,0.0302118130758782,0.1428571428571428,0.0180459097260299,0.3689524498056575,0
ece,0.4498834498834498,0.1057934508816123,male,bihar school examination board patna,nios board,gen,26534,0.2675147660154476,0.1474358974358975,0,0,1,1,1,1,1,0,0.0084798649095113,0.6,0.0219652671292297,0.1026456252246204,0
ece,0.9487179487179488,0.7858942065491183,female,cbse,cbse,gen,23388,0.2103407542026352,0.8397435897435896,0,0,1,1,1,1,0,0,0.0508791894570684,0.5142857142857142,0.0154060140052029,0.6039180289586742,0
ece,0.6144522144522147,0.6110831234256928,male,b.s.e.b.patna,b.s.e.b.patna,gen,32560,0.3770286233530213,0.8782051282051284,0,0,1,1,1,1,0,0,0.0538893579530854,0.2571428571428571,0.0088078691480064,0.6322131476340741,0
ece,0.8298368298368297,0.904282115869018,male,board of secondary education,board of intermediate education andhra pradesh,gen,13556,0.0316583371194911,0.3493589743589746,0,0,1,1,1,1,0,0,0.0217686575382695,0.2571428571428571,0.0144972388259825,0.2494793544356242,0
ece,0.9020979020979024,0.7355163727959699,female,cbse,cbse,gen,17523,0.1037528396183553,0.7147435897435896,0,0,1,1,1,1,0,0,0.0412613340185749,0.2571428571428571,0.0205423690751511,0.5120715997929216,0
ece,0.9393939393939394,0.6851385390428211,male,cbse,cbse,gen,22494,0.1940935938209905,0.1955128205128204,0,2,1,1,1,1,0,0,0.009654564810396,0.2571428571428571,0.022490480019092,0.136248787943227,2
ece,0.7895104895104894,0.5894206549118388,male,icse,cbse,gen,30296,0.3358836892321672,0.2275641025641024,0,0,1,1,1,1,0,0,0.0162255423809698,0.4285714285714285,0.0080538806007804,0.1625997992635702,0
ece,0.8461538461538463,1.0000000000000002,male,maharashtra state board of secondary education,intermediate board of education- andhra pradesh,gen,22578,0.195620172648796,0.6826923076923077,0,0,1,1,1,1,0,0,0.0361220219522044,0.1714285714285714,0.019525432890886,0.4866973783931468,0
