branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
civil,0.5531468531468533,0.48362720403022674,male,bihar board,cbse,gen,0.011169132579054261,22373.0,0.19189459336665154,0.24679487179487203,0.0,4.0,0.00015142337976982445,0.01893453145057765,0.024852941176470578,0.023691099476439784,0.6190476190476188,0,0,0,0,0,0,0.016372379868580436,0.0,0.013777406077699936,0.17582066047150033,4.0
civil,0.3999999999999999,0.17304785894206565,male,bseb,bseb,sc,0.017116333043226004,67894.0,1.0,0.41666666666666674,0.0,0.0,0.010751059963658383,0.028401797175866494,0.03691176470588235,0.03115183246073297,0.6076190476190475,1,1,1,1,1,0,0.025990235307073867,0.37142857142857144,0.012148728656860494,0.2982820040986966,0.0
civil,0.8135198135198136,0.37783375314861467,male,c.b.s.e.,c.b.s.e,obc,0.007687844502465915,59417.0,0.8651158564288961,0.262820512820513,0.0,0.0,0.011659600242277413,0.02182284980744545,0.03352941176470586,0.022905759162303654,0.47619047619047605,0,0,0,0,0,1,0.019015454645570973,0.14285714285714285,0.009146229119585472,0.18855786296218616,0.0
civil,0.7482517482517483,0.08312342569269537,male,cbse,cbse,obc,0.011024078909196391,37323.0,0.4635892776010905,0.17628205128205132,0.0,5.0,0.013476680799515445,0.018774069319640554,0.02573529411764705,0.01387434554973821,0.299047619047619,0,0,0,0,0,1,0.010865974083183405,0.14285714285714285,0.01720698244985644,0.12395462486506723,5.0
civil,0.3100233100233101,0.1057934508816123,male,bseb patna,bseb patna,sc,0.0042065564258775695,67894.0,1.0,0.2403846153846152,0.0,8.0,0.00893397940642035,0.020699614890885745,0.02573529411764705,0.02866492146596858,0.45333333333333337,1,0,1,0,1,0,0.017326823538049263,0.05714285714285714,0.006320314121494641,0.1720982945431013,8.0
civil,0.7202797202797202,0.5440806045340052,male,cbse,cbse,gen,0.020597621119814336,25038.0,0.24032712403452977,0.5224358974358971,0.0,1.0,0.017867958812840715,0.03963414634146341,0.03779411764705881,0.03678010471204188,0.6438095238095238,1,1,1,1,0,1,0.032781469109063516,0.4857142857142857,0.011031864046122691,0.3750792216923782,1.0
civil,0.7995337995337994,0.6221662468513853,male,icse,isc,obc,0.021467943138961415,58606.0,0.8503771013175829,0.29166666666666674,0.0,2.0,0.0054512416717141104,0.02086007702182284,0.03441176470588235,0.02539267015706806,0.39428571428571435,1,1,1,1,0,1,0.016629345471898954,0.5714285714285714,0.02283886402788364,0.2066108962007384,2.0
civil,0.8850815850815854,0.34760705289672544,male,c.b.s.e,c.b.s.e,obc,0.019727299100667256,35544.0,0.43125851885506594,0.3974358974358976,0.0,0.0,0.010751059963658383,0.031129653401797172,0.029117647058823512,0.02617801047120419,0.6552380952380952,1,1,1,1,0,1,0.0241914760838442,0.5714285714285714,0.015736391909689826,0.28393407759780326,0.0
civil,0.7202797202797202,0.7355163727959699,female,icse,i sc,gen,0.033362344067304914,25134.0,0.2420717855520219,0.6057692307692311,0.0,1.0,0.016959418534221685,0.042522464698331194,0.04647058823529411,0.03520942408376962,0.6552380952380952,1,1,1,1,0,1,0.03516757828273556,0.39999999999999997,0.019771134574001814,0.4335634746074358,1.0
civil,0.37995337995337986,0.35768261964735526,male,cbse,cbse,gen,0.0137800986364955,37300.0,0.4631712857791913,0.29807692307692313,0.0,1.0,0.019685039370078733,0.02086007702182284,0.03044117647058822,0.01649214659685863,0.5238095238095237,1,1,1,1,0,0,0.019088873389376287,0.34285714285714286,0.014145753874954356,0.2126625304012617,1.0
civil,0.9254079254079257,0.15617128463476093,male,c.b.s.e.,c.b.s.e.,gen,0.01290977661734842,36857.0,0.45512039981826446,0.2692307692307694,0.0,2.0,0.009842519685039366,0.02551347881899871,0.028235294117647053,0.02041884816753925,0.45333333333333337,0,0,0,0,0,0,0.01695972981902276,0.0,0.014599885865934234,0.19152885202860923,2.0
civil,0.49184149184149173,0.4735516372795969,male,bseb,bseb,gen,0.03162170002901074,29807.0,0.3269968196274422,0.6923076923076927,0.0,0.0,0.02498485766202302,0.03690629011553273,0.04132352941176469,0.04659685863874345,0.8685714285714283,1,1,1,1,0,0,0.04184868396901728,0.2571428571428571,0.014434534314672037,0.4971648768885871,0.0
civil,0.0,0.0,male,b.s.e.b patna,nios board,sc,0.009428488540760088,67894.0,1.0,0.21474358974358965,0.0,4.0,0.0036341611144760783,0.015083440308087295,0.02308823529411763,0.02133507853403141,0.5371428571428571,1,0,1,1,1,0,0.013655886347784557,0.2857142857142857,0.013415126843205907,0.15209946816807166,4.0
civil,0.9160839160839163,0.5843828715365242,male,i.c.s.e,c.b.s.e,gen,0.017116333043226004,31665.0,0.3607632894139028,0.23589743589743617,0.0,2.0,0.0054512416717141104,0.02551347881899871,0.021323529411764686,0.022905759162303654,0.4285714285714284,1,0,1,1,1,0,0.014390073785837496,0.2857142857142857,0.020972146820456727,0.16703313146502208,2.0
civil,0.5937062937062938,0.619647355163728,male,icse,cbse,gen,0.029010733971569475,55832.0,0.7999636528850524,0.8365384615384615,0.0,0.0,0.028619018776499097,0.048138639281129644,0.059411764705882344,0.05078534031413613,0.9180952380952381,1,0,1,1,1,0,0.051943761242245146,0.2857142857142857,0.006545844114432056,0.6024575803208618,0.0
cse,0.6363636363636365,0.33249370277078105,male,cbse,cbse,gen,0.01537568900493183,46717.0,0.6343116765106771,0.29807692307692313,0.0,9.0,0.008025439127801334,0.024550706033376127,0.01970588235294117,0.022905759162303654,0.5847619047619046,1,0,1,1,1,0,0.01740024228185455,0.2857142857142857,0.015880393020304598,0.21151041921289904,9.0
