student_id_perf,latest_cgpa,mean_cgpa,min_cgpa,max_cgpa,mean_sgpa,total_backlogs,semesters_attended,theory_gp_mean,practical_marks_mean,th_attendance_rate,pr_attendance_rate,sgpa_sem_1,sgpa_sem_2,sgpa_sem_3,sgpa_sem_4,sgpa_sem_5,sgpa_sem_6,sgpa_sem_7,sgpa_sem_8,certification_course,gender_x,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,hobbies,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,student_id_research,gender_y,branch,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,study_hours_day,stress_numeric,travel_mins,social_hours,average_marks,academic_risk_score,study_efficiency,at_risk_student,cgpa_band
9974,6.45,6.625454545454546,3.82,9.24,6.013272727272728,11.0,6,5.490909090909091,19.418181818181814,0.7818181818181819,0.2363636363636363,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Female,BCA,155.0,48.0,84.2,64.8,84.0,Sports,30 - 60 minute,Anytime,20000.0,Yes,75%,1 - 30 Minute,1.30 - 2 hour,Good,good,No,,,,,,,,,,,,0.75,1.0,105.0,1.0,77.66666666666667,37.14,8.83,True,Average
9985,6.45,6.767358490566038,6.45,9.68,6.256415094339622,5.0,6,6.075471698113208,17.0,0.8113207547169812,0.2264150943396226,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,134.0,40.0,91.4,65.5,82.96,Cinema,0 - 30 minute,Morning,20000.0,Yes,75%,More than 2 hour,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.25,1.0,45.0,2.5,79.95333333333333,21.33,27.07,True,Average
9986,6.45,6.72811320754717,5.91,9.47,6.236981132075472,9.0,6,5.433962264150943,20.9622641509434,0.7735849056603774,0.2452830188679245,6.0,8.33,8.82,6.0,6.0,6.0,,,No,Male,BCA,159.0,51.0,86.0,72.0,80.0,Reading books,More Than 4 hour,Morning,12500.0,No,75%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No,2.0,Male,CSE,1.0,7.0,2.0,2.0,0.0,1.0,0.0,4.0,5.0,1.0,75.0,1.0,79.33333333333333,33.55,1.35,True,Average
9988,5.8,6.52280701754386,3.88,8.82,6.075087719298245,21.0,6,6.333333333333333,9.982456140350877,0.912280701754386,0.1403508771929824,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Female,BCA,150.0,50.0,85.0,55.0,75.0,Video Games,2 - 3 hour,Anytime,20000.0,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,Yes,,,,,,,,,,,,2.5,1.0,75.0,1.0,71.66666666666667,37.73,2.61,True,Average
9991,5.45,6.5588461538461535,5.35,8.82,6.069999999999999,6.0,6,6.1923076923076925,19.403846153846157,0.8269230769230769,0.25,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Female,BCA,150.0,40.0,80.0,60.0,60.0,Sports,30 - 60 minute,Anytime,15000.0,Yes,75%,More than 2 hour,0 - 30 minutes,Good,good,No,,,,,,,,,,,,0.75,1.0,15.0,2.5,66.66666666666667,25.52,8.75,True,Average
9992,6.45,6.609038461538462,5.2,8.82,6.149615384615384,8.0,6,6.365384615384615,6.980769230769231,0.9230769230769232,0.0961538461538461,6.0,6.0,6.0,6.0,8.8,6.0,,,Yes,Male,BCA,180.0,85.0,78.0,58.0,69.0,Sports,0 - 30 minute,Morning,12000.0,No,0%,1 - 30 Minute,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.25,1.0,45.0,1.0,68.33333333333333,31.23,26.44,True,Average
9994,5.6,6.529166666666667,3.88,8.82,6.0215000000000005,22.0,6,5.5,16.1,0.8166666666666667,0.25,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,120.0,55.0,75.0,65.0,65.0,Sports,30 - 60 minute,Morning,20000.0,Yes,50%,30 - 60 Minute,0 - 30 minutes,Good,good,No,,,,,,,,,,,,0.75,1.0,15.0,1.0,68.33333333333333,37.69,8.71,True,Average
9995,6.45,6.437358490566038,4.09,9.13,5.90622641509434,22.0,6,4.867924528301887,27.41509433962264,0.7358490566037735,0.3396226415094339,6.0,6.0,6.0,6.55,6.0,6.0,,,Yes,Male,BCA,182.0,58.0,80.0,60.0,65.0,Sports,1 - 2 Hour,Night,25000.0,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,good,No,,,,,,,,,,,,1.5,2.0,45.0,1.0,68.33333333333333,43.5,4.29,True,Average
9996,6.45,6.478305084745763,3.88,8.95,6.013728813559322,38.0,6,4.9491525423728815,21.1864406779661,0.7627118644067796,0.2372881355932203,4.36,6.0,9.09,6.0,6.0,6.0,,,Yes,Male,BCA,165.0,67.0,90.0,70.0,50.0,Reading books,30 - 60 minute,Morning,15000.0,No,25%,1 - 30 Minute,more than 3 hour,Good,Bad,Yes,,,,,,,,,,,,0.75,1.0,45.0,1.0,70.0,37.98,8.64,True,Average
10000,6.45,6.505,4.45,8.73,5.943269230769231,29.0,6,5.6923076923076925,16.096153846153847,0.8461538461538461,0.1923076923076923,6.0,6.0,6.0,6.0,8.73,6.0,,,Yes,Female,B.com Accounting and Finance,160.0,38.0,80.0,88.0,80.0,Sports,2 - 3 hour,Anytime,10000.0,Yes,100%,30 - 60 Minute,2 - 2.30 hour,Good,good,No,,,,,,,,,,,,2.5,1.0,45.0,1.0,82.66666666666667,37.83,2.6,True,Average
10003,6.45,6.547222222222223,4.45,9.13,6.145740740740741,22.0,6,5.462962962962963,20.944444444444443,0.7962962962962963,0.2962962962962963,6.0,8.64,6.0,6.0,6.0,5.92,,,Yes,Male,B.com Accounting and Finance,170.0,80.0,75.0,90.0,85.0,Sports,More Than 4 hour,Anytime,100000.0,Yes,100%,30 - 60 Minute,1.30 - 2 hour,fabulous,Bad,No,,,,,,,,,,,,5.0,1.0,105.0,1.0,83.33333333333333,37.59,1.31,True,Average
10004,5.63,6.537843137254902,4.45,8.36,6.111372549019608,22.0,6,6.215686274509804,11.470588235294118,0.9019607843137256,0.1568627450980392,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,165.0,45.0,50.0,50.0,65.0,Cinema,0 - 30 minute,Night,15000.0,Yes,25%,1 - 30 Minute,0 - 30 minutes,fabulous,Fabulous,Yes,,,,,,,,,,,,0.25,1.0,15.0,1.0,55.0,37.64,26.15,True,Average
10005,6.45,6.588235294117647,4.45,8.58,6.14078431372549,14.0,6,5.196078431372549,22.725490196078432,0.7647058823529411,0.2745098039215686,7.73,6.0,6.0,6.0,6.0,6.0,,,Yes,Female,B.com Accounting and Finance,148.0,78.0,71.2,79.5,70.0,Cinema,30 - 60 minute,Anytime,5000.0,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No,,,,,,,,,,,,0.75,1.0,75.0,1.0,73.56666666666666,37.35,8.78,True,Average
10006,6.45,6.528301886792453,3.88,9.16,6.090943396226415,43.0,6,5.056603773584905,20.22641509433962,0.7547169811320755,0.2452830188679245,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Female,B.com Accounting and Finance,130.0,35.0,80.2,70.0,12.0,Reading books,More Than 4 hour,Morning,30000.0,No,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No,,,,,,,,,,,,5.0,1.0,75.0,1.0,54.06666666666666,37.7,1.31,True,Average
10007,5.56,6.630370370370371,5.56,8.53,6.15925925925926,31.0,6,5.851851851851852,10.444444444444445,0.8703703703703703,0.1481481481481481,6.0,6.0,6.0,6.45,6.0,6.0,,,No,Female,BCA,140.0,45.0,85.0,63.0,74.0,Sports,30 - 60 minute,Night,10000.0,Yes,75%,More than 2 hour,30 - 60 minutes,Bad,Bad,No,,,,,,,,,,,,0.75,2.0,45.0,2.5,74.0,42.11,8.84,True,Average
10008,6.98,6.7371428571428575,5.75,8.34,6.847142857142857,1.0,1,6.571428571428571,18.285714285714285,1.0,0.2857142857142857,6.0,,,,,,,,Yes,Male,BCA,175.0,70.0,90.2,72.8,85.0,Video Games,1 - 2 Hour,Morning,20000.0,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No,54.0,Male,CSE,0.0,9.0,4.0,3.0,1.0,2.0,2.0,0.0,1.5,1.0,75.0,1.25,82.66666666666667,9.5,4.49,False,Average
10009,6.45,6.515490196078432,4.45,9.05,6.052549019607843,16.0,6,5.941176470588236,11.96078431372549,0.8823529411764706,0.1372549019607843,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,175.0,76.0,61.8,68.3,66.3,Sports,2 - 3 hour,Morning,30000.0,Yes,50%,30 - 60 Minute,1.30 - 2 hour,Good,good,No,,,,,,,,,,,,2.5,1.0,105.0,1.0,65.46666666666665,37.77,2.61,True,Average
10010,6.45,6.553333333333334,5.03,8.2,5.996842105263158,24.0,6,5.491228070175438,19.894736842105264,0.8245614035087719,0.2280701754385964,6.0,6.0,7.36,6.0,6.0,6.0,,,No,Male,BCA,160.0,70.0,80.0,69.0,60.0,Sports,30 - 60 minute,Morning,20000.0,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Awful,good,No,,,,,,,,,,,,0.75,3.0,75.0,1.0,69.66666666666667,47.55,8.74,True,Average
10011,5.07,6.444999999999999,4.45,8.2,5.8075,15.0,6,5.576923076923077,10.26923076923077,0.8653846153846154,0.1346153846153846,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Female,BCA,155.0,43.0,79.0,61.0,70.0,Cinema,1 - 2 Hour,Night,13000.0,Yes,50%,1.30 - 2 hour,0 - 30 minutes,Awful,Awful,No,,,,,,,,,,,,1.5,3.0,15.0,1.75,70.0,48.17,4.3,True,Average
10012,6.45,6.476538461538462,4.45,8.42,6.078076923076923,30.0,6,5.153846153846154,22.653846153846157,0.7884615384615384,0.2884615384615384,6.0,6.0,6.0,6.0,6.0,7.25,,,Yes,Female,BCA,156.0,50.0,64.0,49.5,85.0,Reading books,2 - 3 hour,Night,100000.0,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,No,,,,,,,,,,,,2.5,2.0,45.0,1.0,66.16666666666667,42.99,2.59,True,Average
10013,6.45,6.589803921568628,6.18,8.89,6.107843137254902,17.0,6,5.019607843137255,26.0,0.7254901960784313,0.2941176470588235,6.0,6.0,6.0,6.91,9.05,6.0,,,Yes,Female,BCA,160.0,50.0,86.0,68.0,80.0,Video Games,2 - 3 hour,Anytime,25000.0,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,Bad,No,,,,,,,,,,,,2.5,1.0,15.0,1.0,78.0,37.83,2.64,True,Average
10014,6.45,6.459411764705883,4.85,8.17,5.973921568627452,28.0,6,5.980392156862745,9.176470588235292,0.9019607843137256,0.1176470588235294,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,175.0,68.9,71.0,66.0,80.0,Video Games,30 - 60 minute,Morning,15000.0,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Good,good,No,,,,,,,,,,,,0.75,1.0,45.0,1.25,72.33333333333333,38.09,8.61,True,Average
10015,6.45,6.597169811320756,6.08,8.43,6.128301886792453,36.0,6,5.169811320754717,17.28301886792453,0.7924528301886793,0.2264150943396226,6.0,8.08,6.0,6.0,6.0,6.0,,,Yes,Female,BCA,155.0,50.0,80.0,73.0,80.0,Cinema,0 - 30 minute,Anytime,50000.0,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,Bad,Yes,,,,,,,,,,,,0.25,1.0,45.0,1.0,77.66666666666667,37.3,26.39,True,Average
10016,6.45,6.482641509433962,0.73,9.5,5.986792452830189,41.0,6,5.075471698113208,19.58490566037736,0.7735849056603774,0.2452830188679245,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,Commerce,150.0,55.0,50.0,50.0,35.0,Sports,3 - 4 hour,Morning,15000.0,Yes,75%,More than 2 hour,1 - 1.30 hour,Good,Bad,No,,,,,,,,,,,,3.5,1.0,75.0,2.5,45.0,37.96,1.85,True,Average
10021,6.45,6.49245283018868,2.05,8.57,5.926981132075472,39.0,6,5.283018867924528,12.62264150943396,0.8301886792452831,0.1698113207547169,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,Commerce,165.0,75.0,65.0,75.0,97.0,Cinema,0 - 30 minute,Anytime,15000.0,Yes,50%,1 - 1.30 hour,0 - 30 minutes,fabulous,good,Yes,,,,,,,,,,,,0.25,1.0,15.0,1.25,79.0,37.9,25.97,True,Average
10022,6.45,6.566111111111111,5.69,9.03,6.095555555555556,36.0,6,5.092592592592593,23.25925925925926,0.7222222222222222,0.2962962962962963,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,Commerce,156.0,50.0,90.0,80.0,80.0,Sports,1 - 2 Hour,Morning,15000.0,No,25%,1 - 1.30 hour,30 - 60 minutes,Awful,Bad,No,11.0,Male,EEE,1.0,1.0,6.0,3.0,3.0,6.0,0.0,5.0,1.5,3.0,45.0,1.25,83.33333333333333,48.03,4.38,True,Average
